"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Final_Mediation_Resolution_Share","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Year","Mediation_Resolution_Share","Mediation_Resolved_Per_100_Cases","Mediation_Attempts_Per_100_Cases","Failed_Attempts_To_Trial_Per_100_Cases","Direct_To_Trial_Per_100_Cases","Trial_Resolved_Per_100_Cases","Mean_NPV_Savings_Per_100_Cases_USD","LB95_NPV_Savings_Per_100_Cases_USD","UB95_NPV_Savings_Per_100_Cases_USD","Mean_Months_Saved_Per_100_Cases","LB95_Months_Saved_Per_100_Cases","UB95_Months_Saved_Per_100_Cases","Mean_NPV_Savings_2000_Cases_USD","LB95_NPV_Savings_2000_Cases_USD","UB95_NPV_Savings_2000_Cases_USD","Mean_Years_Saved_2000_Cases","LB95_Years_Saved_2000_Cases","UB95_Years_Saved_2000_Cases"
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,1,0.160791725977255,16,16.8421052631579,0.842105263157894,83.1578947368421,84,250225.36248993,64294.7822600635,486018.853363345,265.576722411936,87.3405576865389,462.051199734538,5004507.24979861,1285895.64520127,9720377.06726689,442.62787068656,145.567596144232,770.085332890897
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,2,0.17845552390654,18,18.9473684210526,0.947368421052634,81.0526315789474,82,267336.503066968,71227.1141819487,521611.19521779,297.567461877373,94.1171821370298,521.250070670154,5346730.06133937,1424542.28363897,10432223.9043558,495.945769795622,156.861970228383,868.75011778359
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,3,0.221521753213271,22,23.1578947368421,1.15789473684211,76.8421052631579,78,313521.594396635,76580.058678529,611319.263839153,361.246704831046,114.621817178056,633.819087150302,6270431.88793271,1531601.17357058,12226385.2767831,602.077841385077,191.036361963427,1056.3651452505
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,4,0.311364852821997,31,32.6315789473684,1.63157894736842,67.3684210526316,69,416733.130614373,111196.772915438,807004.072917306,511.460379383641,159.122740399102,895.785225955346,8334662.61228747,2223935.45830876,16140081.4583461,852.433965639401,265.204567331837,1492.97537659224
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,5,0.45,45,47.3684210526316,2.36842105263158,52.6315789473684,55,580844.15795929,154870.092815451,1118354.21705789,739.354705858301,231.110869297587,1302.84264894394,11616883.1591858,3097401.85630903,22367084.3411578,1232.25784309717,385.184782162645,2171.40441490657
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,6,0.588635147178003,59,62.1052631578947,3.10526315789474,37.8947368421053,41,726102.22263724,186458.419800102,1414412.43609162,972.805718157603,303.235782379726,1715.84059271671,14522044.4527448,3729168.39600205,28288248.7218324,1621.342863596,505.392970632876,2859.73432119452
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,7,0.678478246786729,68,71.578947368421,3.57894736842105,28.4210526315789,32,799731.300569069,207180.499085048,1537869.77033722,1121.19656778169,358.196502537358,1959.54509820413,15994626.0113814,4143609.98170097,30757395.4067445,1868.66094630282,596.994170895597,3265.90849700688
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,8,0.72154447609346,72,75.7894736842105,3.78947368421053,24.2105263157895,28,806871.499322456,214942.945467866,1557892.87145211,1187.54926805629,375.836486404124,2086.86679294866,16137429.9864491,4298858.90935733,31157857.4290423,1979.24878009381,626.394144006873,3478.1113215811
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,9,0.739208274022745,74,77.8947368421053,3.89473684210526,22.1052631578947,26,785901.672097103,202545.629305342,1531175.01758749,1223.70060462686,389.349060096596,2148.06126121356,15718033.4419421,4050912.58610684,30623500.3517498,2039.50100771144,648.915100160993,3580.10210202261
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.75,1,1,10,0.745984289445429,75,78.9473684210526,3.94736842105263,21.0526315789474,25,756549.474530366,198131.161108727,1475956.56539389,1241.82383588866,383.903762301277,2170.97073197548,15130989.4906073,3962623.22217454,29519131.3078778,2069.70639314776,639.839603835462,3618.28455329246
"Primary scenarios","RUN_002","Middle-income","annual_independent",0.95,0.05,0.6,1,1,1,0.119582861398382,12,12.6315789473684,0.631578947368421,87.3684210526316,88,100872.070325802,33440.9884281415,185954.761174886,306.828953909932,136.895629472223,474.28763329617,2017441.40651604,668819.768562829,3719095.22349771,511.381589849886,228.159382453705,790.479388826949
"Primary scenarios","RUN_002","Middle-income","annual_independent",0.95,0.05,0.6,1,1,2,0.141586348246961,14,14.7368421052632,0.736842105263159,85.2631578947368,86,111793.193424547,37794.8197655399,206912.283118095,356.815450775473,154.940787654993,556.551758022237,2235863.86849093,755896.395310799,4138245.6623619,594.692417959122,258.234646091655,927.586263370394
"Primary scenarios","RUN_002","Middle-income","annual_independent",0.95,0.05,0.6,1,1,3,0.183990807433038,18,18.9473684210526,0.947368421052634,81.0526315789474,82,137808.588192286,43580.6157077434,255128.005083921,456.375625366346,199.25149426417,711.251792757241,2756171.76384572,871612.314154869,5102560.10167842,760.626042277244,332.085823773616,1185.4196545954
"Primary scenarios","RUN_002","Middle-income","annual_independent",0.95,0.05,0.6,1,1,4,0.255012759436194,26,27.3684210526316,1.36842105263158,72.6315789473684,74,187948.959586751,63905.3352949432,344913.85783095,661.561053347652,285.250961032366,1030.23215014593,3758979.19173501,1278106.70589886,6898277.15661899,1102.60175557942,475.418268387277,1717.05358357656
"Primary scenarios","RUN_002","Middle-income","annual_independent",0.95,0.05,0.6,1,1,5,0.35,35,36.8421052631579,1.8421052631579,63.1578947368421,65,242725.790158653,81527.6624358477,444101.082266353,887.768467788783,383.99480414052,1387.61727857587,4854515.80317306,1630553.24871695,8882021.64532706,1479.61411298131,639.9913402342,2312.69546429312
"Primary scenarios","RUN_002","Middle-income","annual_independent",0.95,0.05,0.6,1,1,6,0.444987240563806,44,46.3157894736842,2.31578947368421,53.6842105263158,56,290915.667379049,96128.7940938957,538141.908847519,1118.50076269644,481.595954114038,1750.18684189175,5818313.34758098,1922575.88187791,10762838.1769504,1864.1679378274,802.659923523396,2916.97806981958
