"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Initial_Mediation_Resolution_Share","Final_Mediation_Resolution_Share","Logistic_Steepness_k","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Iterations","Random_Seed","Annual_Eligible_Cases","Time_Horizon_Years","Currency","Price_Year","Comparator","Mediation_Resolved_Per_100_Annual_Cases","Mediation_Attempts_Per_100_Annual_Cases","Failed_Attempts_To_Trial_Per_100_Annual_Cases","Direct_To_Trial_Per_100_Annual_Cases","Trial_Resolved_Per_100_Annual_Cases","Mediation_Resolved_2000_Annual_Cases","Mediation_Attempts_2000_Annual_Cases","Failed_Attempts_To_Trial_2000_Annual_Cases","Trial_Resolved_2000_Annual_Cases","Mean_NPV_Savings_Per_100_Annual_Cases_USD","Median_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Probability_Positive_NPV_Savings","Mean_NPV_Savings_2000_Annual_Cases_USD","Median_NPV_Savings_2000_Annual_Cases_USD","LB95_NPV_Savings_2000_Annual_Cases_USD","UB95_NPV_Savings_2000_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","Median_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","Probability_Positive_Time_Savings","Mean_Years_Saved_2000_Annual_Cases","Median_Years_Saved_2000_Annual_Cases","LB95_Years_Saved_2000_Annual_Cases","UB95_Years_Saved_2000_Annual_Cases","Year_1_Mediation_Resolution_Share","Year_5_Mediation_Resolution_Share","Year_10_Mediation_Resolution_Share"
"Conditional-success sensitivity","RUN_010","High-income","fixed_horizon",1,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,480,0,520,520,9600,9600,0,10400,5795474.73339761,5499986.51155951,1504656.88124628,11193013.8880423,1,115909494.667952,109999730.23119,30093137.6249255,223860277.760845,8041.98702325042,7862.27427367857,2692.47691240929,14043.9904271441,1,13403.3117054174,13103.7904561309,4487.46152068215,23406.6507119068,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_011","Middle-income","fixed_horizon",1,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,374,0,626,626,7480,7480,0,12520,2419989.12587727,2312530.46231752,797699.340834543,4442166.28777278,1,48399782.5175455,46250609.2463503,15953986.8166909,88843325.7554557,9640.78855988936,9651.0281460457,4325.64921374194,14992.4456219498,1,16067.9809331489,16085.0469100762,7209.41535623657,24987.4093699163,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_012","Low-income","fixed_horizon",1,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,214,0,786,786,4280,4280,0,15720,689926.644870117,661804.299519355,187743.351358998,1290187.20447173,1,13798532.8974023,13236085.9903871,3754867.02717997,25803744.0894345,7666.02867318146,7445.43689100596,3451.6411880258,12695.4499123383,1,12776.7144553024,12409.0614850099,5752.73531337633,21159.0831872305,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_013","High-income","annual_independent",1,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,480,0,520,520,9600,9600,0,10400,5764643.42262937,5743260.67769074,4118316.33811552,7525958.90447878,1,115292868.452587,114865213.553815,82366326.7623105,150519178.089576,8006.61353496163,8003.19634975086,5931.29415538597,10075.2495437278,1,13344.3558916027,13338.6605829181,9885.49025897661,16792.0825728797,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_014","Middle-income","annual_independent",1,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,374,0,626,626,7480,7480,0,12520,2408344.35642717,2400557.98420693,1788302.89383059,3070886.89879472,1,48166887.1285435,48011159.6841386,35766057.8766117,61417737.9758944,9603.75716045197,9612.09418147175,7631.37284769883,11501.3241191803,1,16006.2619340866,16020.1569691196,12718.9547461647,19168.8735319672,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_015","Low-income","annual_independent",1,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,214,0,786,786,4280,4280,0,15720,686435.356966247,685017.103922897,502922.954384053,881775.55075462,1,13728707.1393249,13700342.0784579,10058459.0876811,17635511.0150924,7638.31194595973,7631.82136297769,5986.02970115382,9323.42450327068,1,12730.5199099329,12719.7022716295,9976.7161685897,15539.0408387845,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_016","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5734691.96317123,5439485.54532471,1443538.26514911,11145116.7692023,0.9999,114693839.263425,108789710.906494,28870765.3029821,222902335.384046,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2400093.13572278,2294695.48024324,775767.864480006,4424921.4744439,1,48001862.7144555,45893909.6048649,15515357.2896001,88498429.4888779,9555.64204537771,9573.0917756981,4212.27627180355,14923.8910057863,1,15926.0700756295,15955.1529594968,7020.46045300591,24873.1516763106,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,685301.070854802,657564.399228003,183147.852665918,1286265.49115978,1,13706021.417096,13151287.9845601,3662957.05331836,25725309.8231957,7594.83231358387,7376.47994872101,3366.59499995153,12633.1707897364,1,12658.0538559731,12294.1332478684,5610.99166658588,21055.2846495606,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_020","Middle-income","annual_independent",0.95,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2388435.26414045,2380903.44051917,1768512.07689899,3050410.62525615,1,47768705.2828091,47618068.8103833,35370241.5379797,61008212.505123,9518.32975908012,9525.95076203495,7544.62351325604,11421.1107392514,1,15863.8829318002,15876.5846033916,12574.3725220934,19035.184565419,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_021","Low-income","annual_independent",0.95,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,681806.831622818,680339.202397756,498044.353030504,877527.297793471,1,13636136.6324564,13606784.0479551,9960887.06061008,17550545.9558694,7566.86666895075,7560.19455138103,5915.19872410319,9254.32774613496,1,12611.4444482512,12600.3242523017,9858.66454017198,15423.8795768916,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_022","High-income","fixed_horizon",0.9,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,533.333333333333,53.3333333333333,466.666666666667,520,9600,10666.6666666667,1066.66666666667,10400,5667155.55180858,5376035.5948495,1375742.30576597,11079017.9501495,0.9999,113343111.036172,107520711.89699,27514846.1153193,221580359.00299,7864.50138598818,7687.83439554332,2463.61549782847,13886.3553848105,1,13107.5023099803,12813.0573259055,4106.02582971412,23143.9256413509,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_023","Middle-income","fixed_horizon",0.9,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,415.555555555556,41.5555555555556,584.444444444444,626,7480,8311.11111111111,831.111111111111,12520,2377986.47999556,2272619.2866786,752254.147796162,4407782.20720012,1,47559729.5999112,45452385.7335719,15045082.9559232,88155644.1440024,9461.03480703143,9477.56893838715,4100.37955720038,14846.0354294697,1,15768.3913450524,15795.9482306452,6833.9659286673,24743.3923824495,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_024","Low-income","fixed_horizon",0.9,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,237.777777777778,23.7777777777778,762.222222222222,786,4280,4755.55555555555,475.555555555555,15720,680161.544171119,652493.864832966,178445.078154021,1280432.76967686,1,13603230.8834224,13049877.2966593,3568901.56308042,25608655.3935371,7515.72524736433,7299.04182810749,3270.20820012684,12581.8039541008,1,12526.2087456072,12165.0697135125,5450.34700021139,20969.6732568347,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_025","High-income","annual_independent",0.9,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,533.333333333333,53.3333333333333,466.666666666667,520,9600,10666.6666666667,1066.66666666667,10400,5636231.91218795,5615721.06324023,3990845.22832619,7409719.59867434,1,112724638.243759,112314421.264805,79816904.5665238,148194391.973487,7828.5802287754,7825.10333695377,5743.27095333372,9907.14566380715,1,13047.6337146257,13041.838894923,9572.1182555562,16511.9094396786,0.160791725977255,0.45,0.745984289445429
