"Scenario","Iterations","Mean_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","NPV_Percent_Difference_From_20000","Time_Percent_Difference_From_20000"
"High-income",1000,5867411.68645479,1710149.03924326,11320594.9299318,7968.2221813626,2505.33221160087,13976.0907535563,2.22871981752666,0.43806424872177
"High-income",2500,5820148.03709245,1567218.46488405,11177774.0777732,7886.13345421079,2484.73605150801,13972.2222181139,1.40523876209455,-0.596649977878627
"High-income",5000,5769394.25358782,1478243.67714886,11158377.894121,7917.57422517719,2518.31013362689,13938.1708512078,0.520948620062689,-0.200344490597126
"High-income",10000,5734691.96317123,1443538.26514911,11145116.7692023,7957.91487928409,2581.22303247963,13970.7209090565,-0.0836741529078089,0.308142486397789
"High-income",20000,5739494.43652218,1464466.04568045,11096959.9438616,7933.4684922146,2489.16314417644,13908.3515605521,0,0
"Middle-income",1000,2449499.85637924,847615.701364153,4494279.22013114,9565.52017156344,4151.90850192407,14962.3110084754,1.98457185754806,0.357175452237657
"Middle-income",2500,2431918.40191081,813719.882544251,4444950.75534546,9487.54922709475,4125.04664386512,14905.0312148065,1.25257054637185,-0.46086095497041
"Middle-income",5000,2412880.59832231,786151.790551061,4427539.55097754,9517.27120326012,4157.55760847016,14902.6654719147,0.459934350445712,-0.149031224509577
"Middle-income",10000,2400093.13572278,775767.864480006,4424921.4744439,9555.64204537771,4212.27627180355,14923.8910057863,-0.0724698033904736,0.253538553775146
"Middle-income",20000,2401833.73991186,784085.887707045,4407071.30740292,9531.47607877416,4128.30158381885,14862.7333562925,0,0
"Low-income",1000,700132.602138411,193182.88190478,1300634.69758197,7602.46765800364,3316.14684725305,12715.8748864974,2.08424700043537,0.368492137403775
"Low-income",2500,694805.920387311,191887.568687542,1289637.336291,7535.24450258578,3299.00068597586,12625.0272990992,1.30757941787865,-0.518994274841067
"Low-income",5000,689091.997812317,185402.198710848,1286294.96496234,7560.28796422558,3350.71242123192,12595.9795013051,0.4744494054989,-0.188368141885309
"Low-income",10000,685301.070854802,183147.852665918,1286265.49115978,7594.83231358387,3366.59499995153,12633.1707897364,-0.0782943500548083,0.267689603169341
"Low-income",20000,685838.043293227,186815.310855062,1280678.95058352,7574.55601464643,3318.9143392104,12578.9414701428,0,0
